latitude,longitude,town,postcode,epci,county,weight
44.89407,-0.26352000000000003,19.0,33500.0,19.0,7.0,22.096394485683987
44.91446,-0.34292,128.0,33450.0,19.0,7.0,22.1050901378579
43.30271,-1.43225,127.0,64250.0,21.0,11.0,0.9927359490986213
44.71528,-0.6415900000000001,188.0,33850.0,50.0,7.0,22.074301873453518
44.83552,-0.5628700000000001,41.0,33800.0,1.0,7.0,22.778119476846943
44.74695,-0.11243000000000002,39.0,33540.0,80.0,7.0,21.760728172499118
44.80704,0.06747,113.0,33890.0,25.0,7.0,21.754931071049842
44.93019,-0.66317,38.0,33290.0,1.0,7.0,22.78391657829622
44.93078,-0.66625,38.0,33290.0,1.0,7.0,22.78391657829622
44.92436,-0.67656,168.0,33320.0,1.0,7.0,22.763626723223755
44.96261,-0.25487000000000004,172.0,33500.0,19.0,7.0,22.11668434075645
44.96177,-0.25723,172.0,33500.0,19.0,7.0,22.11668434075645
45.74817,-1.09383,18.0,17530.0,7.0,2.0,5.52932131495228
44.89535,-0.38352,290.0,33450.0,76.0,7.0,21.815906680805938
44.95105,-0.52025,7.0,33440.0,1.0,7.0,22.766525273948393
44.79777,-1.23065,187.0,33950.0,12.0,7.0,21.730540827147404
43.69858,-1.33201,322.0,40230.0,33.0,9.0,0.8016790385295157
44.7434,-0.61079,188.0,33850.0,50.0,7.0,22.074301873453518
43.68468,-1.04946,97.0,40100.0,16.0,9.0,0.7650936726758572
45.87979,1.16514,179.0,87100.0,81.0,8.0,0.27728879462707673
45.48266,-1.08691,314.0,33590.0,35.0,7.0,21.693955461293744
44.17119,0.62229,44.0,47550.0,9.0,10.0,1.2363379285966773
44.17784,0.6120800000000001,165.0,47520.0,9.0,10.0,1.230540827147402
44.98018,-0.64049,166.0,33290.0,37.0,7.0,21.77872039589961
45.95728,0.20417000000000002,335.0,16510.0,43.0,1.0,27.538016967126193
45.65334,-1.0312,243.0,17200.0,7.0,2.0,5.52932131495228
45.24061,-0.30568,208.0,17210.0,56.0,2.0,5.5415164369035
44.97098,-0.64829,166.0,33290.0,37.0,7.0,21.77872039589961
46.06647,-0.9992500000000001,319.0,17290.0,10.0,2.0,5.641375044185224
45.2002,0.6673300000000001,68.0,24650.0,5.0,6.0,1.841162955107812
45.2002,0.6673300000000001,68.0,24650.0,5.0,6.0,1.841162955107812
43.31856,-0.45428,16.0,64230.0,6.0,11.0,0.9561505832449628
44.78807,-0.5282,336.0,33140.0,1.0,7.0,22.78101802757158
45.90189,1.27409,69.0,87280.0,81.0,8.0,0.27728879462707673
45.56051,0.91817,200.0,24450.0,42.0,6.0,1.7650936726758573
44.70271,-0.60711,188.0,33850.0,50.0,7.0,22.074301873453518
44.70249,-0.6075200000000001,188.0,33850.0,50.0,7.0,22.074301873453518
45.92726,-1.33389,279.0,17310.0,54.0,2.0,5.486337928596678
46.07222,-1.00491,319.0,17290.0,10.0,2.0,5.641375044185224
44.92169,-0.37135,128.0,33450.0,19.0,7.0,22.1050901378579
44.78308,-0.09306,219.0,33350.0,25.0,7.0,21.754931071049842
44.91537,-0.7589800000000001,251.0,33160.0,1.0,7.0,22.760728172499118
46.88979,0.53417,12.0,86100.0,4.0,12.0,1.5516790385295158
44.74312,-0.5213,54.0,33140.0,50.0,7.0,22.068504772004243
45.22223,0.60587,137.0,24350.0,5.0,6.0,1.841162955107812
44.46964,-0.8097900000000001,30.0,33830.0,79.0,7.0,21.7090491339696
45.58225,0.24843,99.0,16410.0,14.0,1.0,29.254029692470837
45.58727,0.26348000000000005,99.0,16410.0,14.0,1.0,29.254029692470837
45.25731,2.08214,272.0,19320.0,52.0,3.0,0.3484270060091905
44.20465,-1.22828,202.0,40200.0,49.0,9.0,0.7952810180275716
44.77626,-0.66063,57.0,33610.0,29.0,7.0,21.833297985153763
44.77492,-0.6610400000000001,57.0,33610.0,29.0,7.0,21.833297985153763
46.63172,0.28467000000000003,201.0,86440.0,82.0,12.0,1.6393425238600212
44.83998,-0.33263000000000004,27.0,33750.0,66.0,7.0,21.74563449982326
44.15389,-1.2141600000000001,202.0,40200.0,49.0,9.0,0.7952810180275716
44.1997,-1.24128,202.0,40200.0,49.0,9.0,0.7952810180275716
46.14639,1.8464800000000001,138.0,23000.0,17.0,4.0,1.0882644043831744
46.12352,1.8607300000000002,122.0,23000.0,17.0,4.0,1.091162955107812
46.14441,1.86264,122.0,23000.0,17.0,4.0,1.091162955107812
46.63162,0.28699,201.0,86440.0,82.0,12.0,1.6393425238600212
